model,arm,match_coverage,n_rows,n_features,median_spearman,median_spearman_no_ubi4
null_smave,shared,True,23415,3,0.3517099620707538,0.33066553745546173
dde_only,shared,True,23415,1,0.43016091923231875,0.43016091923231875
ddg_only,rosetta,True,23415,1,0.27881251780396876,0.27881251780396876
ddg_only,boltz,True,22830,1,0.35024636432595085,0.35024636432595085
ddg_dde,rosetta,True,23415,2,0.4693705840253972,0.48108079272370774
ddg_dde,boltz,True,22830,2,0.4689962899980877,0.5008392947044623
position_context,rosetta,True,23415,47,0.5104983453739697,0.5294789936706634
position_context,boltz,True,22830,47,0.5037997605750517,0.5177315855071057
