grouping,klass,n,MAE,MAE_centred,bias,sd_true,MAE_sd,rho
overall,all,12359,0.4429892341470419,0.40364500777524887,-0.020127192811115652,1.0158832090459307,0.4360631519474334,0.7839539888214522
burial,buried,3730,0.5954829057056905,0.5288767157563848,-0.025272029940082076,1.2258574909391282,0.4857684601245873,0.794499894960919
burial,exposed,3730,0.35024601985930587,0.32853518161788775,-0.015202452111687097,0.7304975850771499,0.47946225561076344,0.6850163914479879
burial,mid,3729,0.41524238285012094,0.38243332684170417,-0.02650712805481307,0.8653718568571861,0.4798427168156095,0.7381018690109156
gly_pro,from Gly,782,0.4824542782895578,0.42060918426421634,-0.020848145988879876,0.9547571107326828,0.5053162452168817,0.7385758929427857
gly_pro,from Pro,330,0.4765502084598149,0.43362249675683096,-0.05228061052626643,0.9579114411533183,0.49748879487862885,0.6887651526977874
gly_pro,other,10163,0.42599015952575603,0.39132723265359587,-0.013319106369987848,0.9846087119506082,0.4326491877995138,0.772494494413181
gly_pro,to Gly,638,0.4918699055373334,0.42762895455978434,-0.010166216230441885,1.058602144264334,0.4646409495789883,0.7797555251242895
gly_pro,to Pro,446,0.6663949314260988,0.5980962031441518,-0.16445739982600438,1.1966609918261373,0.5568786280976386,0.7515039718274329
direction,destabilizing,6120,0.5421386422466964,0.46461977919206604,-0.2141068680067367,0.8880142151339558,0.6105067160044453,0.7094550403786205
direction,neutral,5704,0.3182480036034255,0.3201460929848309,0.13339480503062479,0.2469940785215414,1.2884843454887511,0.3592088124637715
direction,stabilizing,535,0.6387454985412523,0.5963781085109919,0.5620525015961991,0.29769239716588397,2.1456560685536163,0.27089842188824853
volume_change,larger,4024,0.4432928993784494,0.40533876509676153,-0.025298968505356522,0.9410785605369104,0.47104770841399146,0.7423291238069567
volume_change,similar,4210,0.4131009485837562,0.37878261529026747,-0.01742130875069112,0.9636607773521486,0.42867880305228767,0.7595780744904895
volume_change,smaller,4125,0.47319716949982943,0.42736743029646196,-0.0178436889325125,1.0816393038828553,0.4374814855572945,0.8123128789912568
wt_aa,A,937,0.4769156188603682,0.44186288225518294,-0.06448115469885228,1.1013943739946677,0.4330107635565943,0.7789881937725963
wt_aa,C,1,0.1465144971251512,0.1571980792348652,-0.1465144971251512,,,
wt_aa,D,710,0.4232278949554076,0.39296115365025297,-0.025009299451549703,0.8289080006217604,0.5105848835310386,0.6628302136828756
wt_aa,E,1478,0.355593966922865,0.3221726839239935,-0.003916095453030796,0.6614278577985595,0.5376156488273625,0.6380804302452265
wt_aa,F,379,0.5741415834863195,0.5081258951576729,-0.004445887626099147,1.124817910434666,0.5104306911902324,0.77107235987947
wt_aa,G,782,0.4824542782895578,0.42060918426421634,-0.020848145988879876,0.9547571107326828,0.5053162452168817,0.7385758929427857
wt_aa,H,276,0.37415893247740084,0.3401758746342515,-0.11081439562886876,0.6921660404845131,0.540562394848917,0.6161025099527689
wt_aa,I,689,0.49376013424755283,0.4340720728910443,0.017239480621561668,1.128076162064463,0.43770106208426135,0.8312244559530745
wt_aa,K,1245,0.3535023403476741,0.33543657206663,0.005251286049662371,0.7239018935767817,0.4883290726054432,0.6816510948388579
wt_aa,L,984,0.531288934106677,0.47809151178228054,-0.02741334150404684,1.1232409975900741,0.47299638745964867,0.8014862920987732
wt_aa,M,132,0.5973774905921516,0.5025231154840352,-0.0875965931248,1.2226569206010052,0.48858962847771453,0.7634005207327825
wt_aa,N,546,0.3903254583529506,0.362617270461764,-0.018632511417442117,0.7854718342207564,0.4969311964447218,0.7148747634633953
wt_aa,P,347,0.46911544822772344,0.4266318427388218,-0.05248746515172922,0.9451298081426538,0.49635028351250265,0.6977957940121741
wt_aa,Q,439,0.37214814821270964,0.3681869545949734,0.050894673964431224,0.7538401575340695,0.4936698376882244,0.6958531077933829
wt_aa,R,696,0.40349776872023824,0.37661522903175754,-0.019395135056215623,0.8036119811852941,0.5021052176513047,0.6894247843203694
wt_aa,S,520,0.35076369609070857,0.3368370898024833,0.005724932129978299,0.7641599379164018,0.4590186931902228,0.7603365624645287
wt_aa,T,776,0.41144524490491985,0.3805956631293431,-0.05569171217036192,0.864698672911442,0.4758249986895238,0.7450917999571143
wt_aa,V,875,0.5546119373326428,0.4977024029250314,-0.015301401570149867,1.165653100421867,0.47579501751586345,0.7987752466335583
wt_aa,W,172,0.6109316838610749,0.5407340591534187,-0.038911370671129215,1.1978738362035242,0.5100133798708956,0.7674088433882124
wt_aa,Y,375,0.558867141209739,0.4844171353984129,-0.04288892841779644,1.1215424767010447,0.498302251425747,0.7587891682785299
mut_aa,A,614,0.3773236017949014,0.34672312456014936,-0.03670786033421599,0.9071410900120989,0.4159480878436108,0.8026597523973763
mut_aa,C,539,0.49811925077909125,0.47767973141323505,0.06462246273811685,0.8709657102721768,0.5719160294191478,0.6253355955427118
mut_aa,D,590,0.5008628813031961,0.448210374226887,-0.019970587991908335,1.1796926600605688,0.4245706515436659,0.8123110798257712
mut_aa,E,593,0.48235862879862484,0.4391774143558397,-0.020469693876484087,1.14233233399134,0.4222577042122679,0.8464231324686637
mut_aa,F,577,0.4196930153100994,0.3900396913093847,-0.03787219493122033,0.8757562658600203,0.47923495574187824,0.7095203434620867
mut_aa,G,638,0.4918699055373334,0.42762895455978434,-0.010166216230441885,1.058602144264334,0.4646409495789883,0.7797555251242895
mut_aa,H,604,0.4638518273851552,0.40696422072506583,0.054721434046283234,0.9896212368556586,0.4687165251818564,0.7350871388773389
mut_aa,I,684,0.40702404922291496,0.37503129851018835,-0.023482684686309194,0.9068405102889526,0.4488375239139043,0.7355314952694708
mut_aa,K,558,0.4544898528959872,0.4077972273593734,-0.0037494377901611943,1.062597477863542,0.42771591535280534,0.8161020022993596
mut_aa,L,693,0.3832682626239133,0.36023168195741845,0.0005475777698976709,0.7940905304918309,0.4826505894567598,0.7070778943144886
mut_aa,M,721,0.3832375664443215,0.3550082413263043,0.005144959087516146,0.8162534386245733,0.4695080575588084,0.7354030515737477
mut_aa,N,609,0.3907376304093417,0.3384423874148128,-0.024012729073858746,0.985197649805526,0.396608366337934,0.8255599251095517
mut_aa,P,472,0.6557449582177092,0.5870768193411625,-0.1553629932586233,1.2116321540224935,0.5412079532890438,0.7621192454738773
mut_aa,Q,617,0.4122564904465522,0.38527774012677946,-0.0534006867164034,1.1233509021372277,0.36698816875672147,0.8407574078452584
mut_aa,R,597,0.4918681096186315,0.46141458782139394,-0.06773029598389907,1.0269664839957409,0.4789524461449429,0.7816562555093259
mut_aa,S,607,0.4127875582069331,0.37593912264630036,0.0010432049907420963,0.9362805372595231,0.4408802082067786,0.7784944279566255
mut_aa,T,608,0.42740016954188975,0.39193355825807014,-0.03999524610079259,0.93870172407779,0.45530988020905266,0.7667992447459613
mut_aa,V,691,0.3693427152390507,0.3479327877048906,-0.02189513478926921,0.8403085037988162,0.4395322831666565,0.7745570540562264
