grouping,metric,spearman,p,k
wt_aa,MAE_sd,0.05392156862745098,0.8371514461082935,17
wt_aa,rho,0.6666666666666667,0.04986723056888511,9
wt_aa,skill_vs_onehot,0.40196078431372556,0.10973047964744011,17
mut_aa,MAE_sd,0.4769230769230769,0.0846484341946868,14
mut_aa,skill_vs_onehot,0.39780219780219783,0.1589507745108348,14
