regime,subset,n,baseline_r,baseline_rmse,per_prot_med_r,oracle_offset_r,oracle_offset_rmse,oracle_gain_r,oracle_gain_rmse,oracle_affine_r,oracle_affine_rmse
A_tsu_only,full,541,0.41466561042959477,1.5545784893421097,0.5499858448794287,0.6414387220253793,1.2483407951441379,0.4448765021529236,1.639558083872385,0.6353680546946062,1.3526977384793653
A_tsu_only,common25,360,0.36108428426005246,1.6968227891733185,0.5939075289621031,0.6117078737593877,1.4001916740770468,0.4066357181168905,1.7994102627004152,0.6069429217324964,1.522894099997876
B_fp_only,full,541,0.5457668612627684,1.3704176379240316,0.5942501662427974,0.6967571778132615,1.1713569698455961,0.5415584574679629,1.4539542966830548,0.6800416977758093,1.268075607097499
B_fp_only,common25,360,0.4595576840646648,1.57696101692507,0.5942501662427974,0.6490998089904383,1.347483730226393,0.4685589502854545,1.6865166727073218,0.631675917450513,1.4741929458667404
D_finetuned,full,541,0.5063914353802512,1.4556546752489825,0.5402124707720043,0.6805304739336993,1.1921362119276284,0.5151734753539887,1.5433690275464889,0.6658139126515527,1.297785101395732
D_finetuned,common25,360,0.4526125608138038,1.618235209444361,0.5383808223552198,0.6426365259714971,1.357327956655126,0.4720075088042391,1.7220798212789374,0.6309119928096214,1.4795988982451436
