quantity,mean,sd
split_half_reliability_mean_ddg,0.8229600143133865,0.05580784662004872
baseline_no_offset,0.511317835274588,0.035326534627276966
offset_from_other_half_honest,0.6554784090515292,0.028596745776297016
offset_from_same_half_oracle,0.7104544541202407,0.02660603510805517
transferable_gain,0.14416057377694125,
noise_fitting_inflation,0.054976045068711454,
