quantity,mean,sd
split_half_reliability_mean_ddg,0.637236585960942,0.025368188165137726
baseline_no_offset,0.7785249204973497,0.0238970607576591
offset_from_other_half_honest,0.8077655974295148,0.02112157959313759
offset_from_same_half_oracle,0.8310793984162003,0.0222395142033186
transferable_gain,0.029240676932165144,
