subset,ours,d_r,d_r_lo,d_r_hi,p_r_gt0,d_rho,d_rho_lo,d_rho_hi,p_rho_gt0
all scored,diag,-0.030300324300293717,-0.08971434723252908,0.007290831655716263,0.0805,-0.039941439739258996,-0.10482682651553979,0.0002438157312068383,0.0265
all scored,dz_cw,-0.01519953562756771,-0.07073613631871231,0.021215703413390782,0.2735,-0.01562848263406195,-0.07727253939817073,0.023415799789810798,0.2805
AFToolkit HAS trained on these proteins,diag,-0.06732782975574705,-0.1610801409310642,-0.0089902354245643,0.0025,-0.08784574578768432,-0.19920566118159502,-0.021392633481001157,0.0
AFToolkit HAS trained on these proteins,dz_cw,-0.04458040319746024,-0.12224420981144066,0.001463353876671106,0.034,-0.06254493853003436,-0.1639819270564818,-0.004010471583287551,0.008
blind to both methods,diag,0.010540279169587677,-0.04222076818323053,0.05942642899832418,0.67725,0.025875569415364737,-0.03426314512249418,0.07048913044910474,0.83025
blind to both methods,dz_cw,0.015312811973660086,-0.050211659652382265,0.07534858416136153,0.69675,0.04617314211426452,-0.019015966452832638,0.09358613090431832,0.9305
