ours,vs,d_r,d_r_lo,d_r_hi,p_r_gt0,d_rho,d_rho_lo,d_rho_hi,p_rho_gt0
zdiag 128d,aft_svm,0.04190557193020844,-0.02926015428942327,0.13283882568922264,0.83725,0.06309808357859076,-0.0016293787084842434,0.14357050287225467,0.97125
dz 256d,aft_svm,0.02717611587706121,-0.056734117441820754,0.13232225209051982,0.71325,0.047019270974043154,-0.027666302104232075,0.13603352221912599,0.88125
concat 256d,aft_svm,-0.13176041286820805,-0.21950547520206373,-0.02820971154756643,0.0085,-0.12989151174772917,-0.2260065772638127,-0.017245272827296737,0.0125
