model,n,r,rho,rmse,mae
"AFToolkit SVM (AF2 pair+lddt+plddt, 223,611 train)",541,0.5252879992041006,0.5106014481781652,1.4014279682452246,0.9952760852049335
AFToolkit MLP,541,0.37008012993976286,0.34377166411110366,1.6305565044399772,1.2229970992561923
AFToolkit CatBoost,541,0.2686613132467418,0.3297122761732528,1.7118112121660047,1.2619525621034275
"ours: Boltz-2 zdiag, 128d (best transfer)",541,0.5569911137117839,0.5687257300052354,1.3570048471066511,0.9767799808194656
"ours: Boltz-2 dz, 256d",541,0.5413118977920124,0.5518803784690514,1.4251709167152977,1.0505670309635138
"ours: Boltz-2 diag + contact-weighted, 256d",541,0.5474610857251913,0.5647315620263811,1.3653538797212035,0.9602046679025636
"ours: Boltz-2 concat, 256d (project default)",541,0.3807699332117235,0.3709583699830549,1.5430376761335445,1.15629253805454
