ours,vs,d_r,d_r_lo,d_r_hi,d_rho,d_rho_lo,d_rho_hi,p_rho_gt0
diag,aft_svm,0.033230502606216135,-0.028908947062559916,0.11090414022000612,0.053645410075934395,-0.0034655275456794156,0.12363428829327786,0.966
dz_cw,aft_svm,0.02301402705257391,-0.052653456759669016,0.10874056032006395,0.04631028778649535,-0.021223434369351767,0.11973849360783409,0.908
dz,aft_svm,0.019132752919284172,-0.05521242160971163,0.11133968387606528,0.03920840103102354,-0.026204262232973133,0.12003992159959763,0.86325
base,aft_svm,-0.15524818930887255,-0.2400881434698836,-0.061857098325858034,-0.152536803820764,-0.24071716998092788,-0.05409590215842674,0.00325
