model,n,r,rho,rmse,mae
"this project: Boltz-2 zdiag, 128d",629,0.5742031473036643,0.5830989852810028,1.2945038001245641,0.9312708929174011
"this project: diag + contact-weighted, 256d",629,0.5653933821553313,0.5782916876665294,1.303409024279446,0.9204279299400212
"this project: Boltz-2 dz, 256d",629,0.5591905353375882,0.5678554545687954,1.3658995753985594,1.0057709394657415
AFToolkit SVM,629,0.548482316758311,0.5331680767835806,1.3266953589659025,0.9331823223821981
"this project: Boltz-2 concat, 256d (project default)",629,0.3854523607336456,0.37302027723467557,1.5068151959449556,1.1439096536756552
AFToolkit MLP,629,0.3995862841369653,0.3805825442501823,1.5584790725138373,1.1606191365049285
AFToolkit CatBoost,629,0.3092053149167713,0.35828638127669193,1.634909813287908,1.1963761687894083
