holdout,MSA_pearson,MSA_rmse,MSA_mae,no-MSA_pearson,no-MSA_rmse,no-MSA_mae,delta_pearson
random,0.78330350348987,0.6316514482495158,0.4581942576782685,0.6991908342782829,0.7262629325909999,0.5243854391991635,-0.08411266921158711
protein,0.7738301574237674,0.6434802473723497,0.4664551468591738,0.6867680537247428,0.7383757587015961,0.5335152373783136,-0.08706210369902456
cluster,,,,0.6815216767398329,0.7434153266746701,0.5382766033968786,
denovo,0.7048156297686067,0.7244684269691268,0.5251136097643356,0.6060929956355359,0.8116120201944749,0.5854851049090285,-0.09872263413307081
substitution,0.7721350008103793,0.641832947414017,0.4663990434221934,0.6913449567403029,0.7295959545219823,0.5305279020451578,-0.0807900440700764
source_residue,0.7540803992410379,0.6673450551220241,0.487543524171923,0.6695090322043653,0.7547225320707505,0.5510114265636202,-0.08457136703667256
target_residue,0.7432927885146559,0.6797313937281201,0.4923183670349749,0.6640360238310556,0.7595365012999322,0.5535024098244286,-0.07925676468360021
chemistry,0.7335380228562272,0.6905957846382664,0.5010903028378366,0.6467233908275232,0.7749358785608217,0.5676918971344568,-0.08681463202870399
