group,n,spearman,pearson,pearson_clipped,mean_boltz,mean_foldx
ALL,5419,0.6975217303219516,0.4284230276875084,0.613134980309519,,
glycine sites (WT=G),553,0.5016965578941424,0.4025195411069096,,1.4841735653309223,8.579953088607596
non-glycine sites,4866,0.7161801281984478,0.5083428872695468,,1.2745374142110768,2.6933102620221945
