group,n,n_below,pct_below,ci_lo,ci_hi,median_delta
all,2238,1060,47.36371760500447,45.30133189227734,49.43513833826885,1.1617515638963418
glycine,505,393,77.82178217821782,73.9958673162827,81.22760497843534,-13.092046470062563
non-glycine,1733,667,38.48817080207732,36.22515995864456,40.802106085651026,5.406613047363717
flagged,160,94,58.75,51.00398177030784,66.0856950883166,-8.936550491510268
"flagged, non-glycine",114,49,42.98245614035088,34.269963895219036,52.15248793842885,3.6193029490616624
"flagged, glycine",46,45,97.82608695652173,88.66444550566696,99.61522448887573,-19.70509383378016
"rest (non-Gly, non-flagged)",1619,618,38.17171093267449,35.835899089707574,40.56352276391018,5.674709562109015
