group,n,n_below,pct_below,ci_lo,ci_hi,median_delta
all,5419,2651,48.92046503044842,47.590740322033525,50.25171924750287,0.535154087470012
glycine,553,443,80.10849909584087,76.57867417341396,83.22289237621165,-17.180291566709727
non-glycine,4866,2208,45.37607891491985,43.981411412550194,46.77804162592236,2.2328842959955733
flagged,169,106,62.72189349112426,55.22470115042576,69.65356889567425,-14.799778556929326
"flagged, non-glycine",119,57,47.89915966386555,39.13036522440084,56.79935239568877,1.310204834840377
"flagged, glycine",50,49,98.0,89.50431352816304,99.64608319110235,-27.698837423878945
"rest (non-Gly, non-flagged)",4747,2151,45.312829155255955,43.90106778325605,46.73217075704805,2.232884295995575
