group,n,spearman,pearson,pearson_clipped,mean_boltz,mean_foldx
ALL,603,0.5038669384371184,0.5138435649460478,0.522530342851738,,
glycine sites (WT=G),493,0.5319095559417708,0.5202626474230913,,0.8392214886646557,8.64873154361055
non-glycine sites,110,0.44539368392579404,0.3150772903813917,,0.6962925088967699,4.213796354545454
