config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs
far,tsu_oof,12359,535,0.7401346682913331,0.7684485487298985,0.4515206338027066,0.692747462944226,0.7930867729596806,0.19954571884878872,0.802460735466627,0.8316500259254107,0.7333333333333333,0.4291483047393623,256,262
far,fireprot_le500,3205,408,0.5040867623042998,0.4572201144865973,1.0005503069153023,1.3905776179549456,1.9029970032829964,0.2159863132623022,1.9034542710991083,0.6178845331482612,0.6,0.16785285994233007,256,262
cw,tsu_oof,12359,535,0.7925637231207413,0.7652693007111878,0.45069265473780873,0.619843547599617,0.7695988068913785,0.1579973700749638,0.7770807195161362,0.8321759639826489,0.8,0.5460895822700649,256,170
cw,fireprot_le500,3205,408,0.6572916837523557,0.6703787003767677,0.791185473782125,1.2081393323962737,1.4235916948381993,0.020400089297942042,1.425004135806291,0.7386441705749157,0.5666666666666667,0.18729723895502312,256,170
