config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs
diag,tsu_oof,12359,535,0.7749717656667681,0.7570742878536553,0.4664521612268447,0.6424835891377012,0.7985145267557795,0.21628210412810459,0.7998879445077766,0.8353854982105144,0.5,0.36523276709928154,128,135
diag,fireprot_le500,3205,408,0.6469945472311537,0.6593852456490417,0.8031868311039398,1.2238548334194508,1.4147461851256373,-0.011671458560132637,1.4147461851256373,0.7391313872706753,0.6,0.19885906402259204,128,135
dz,tsu_oof,12359,535,0.7921605003163971,0.7767170967172002,0.4462077803025097,0.6201440939163734,0.7343928785975982,0.2515519378848694,0.7406692426434038,0.8587963021511767,0.6666666666666666,0.4181074656023261,256,167
dz,fireprot_le500,3205,408,0.6474084193599613,0.6610297348164245,0.8332859789535907,1.2734990279053173,1.3083925467938267,0.0028762004260516737,1.3084684234833115,0.7395642740471232,0.6666666666666666,0.20373735971470328,256,167
dz_cw,tsu_oof,12359,535,0.7911639673410404,0.773389094150447,0.4493784244221245,0.6216085312142273,0.7555291936527767,0.2090353911425755,0.7600276522476208,0.8474686365763282,0.7,0.42058703678311765,256,169
dz_cw,fireprot_le500,3205,408,0.6647597173107951,0.6900066683252121,0.7752101873434527,1.202122890334378,1.3606818675079977,0.019034492770116224,1.3606818675079977,0.7579479414218315,0.5666666666666667,0.19102828068764968,256,169
cw,tsu_oof,12359,535,0.7925637231207413,0.7652693007111878,0.45069265473780873,0.619843547599617,0.7695988068913785,0.1579973700749638,0.7770807195161362,0.8321759639826489,0.8,0.5460895822700649,256,171
cw,fireprot_le500,3205,408,0.6572916837523557,0.6703787003767677,0.791185473782125,1.2081393323962737,1.4235916948381993,0.020400089297942042,1.425004135806291,0.7386441705749157,0.5666666666666667,0.18729723895502312,256,171
