config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs
cw,tsu_oof,12359,535,0.7948536600825095,0.765683085142809,0.45419962267583314,0.6250383269544703,0.5629176297328538,0.24494828702230736,0.629378063090171,0.8555538869146232,0.7666666666666667,0.5273811299167231,256,333
cw,fireprot_le500,3205,408,0.6724177012119374,0.6946054865201774,0.7524649085957352,1.1858824573351743,1.1660795938975408,0.13376474838381114,1.1800304726085926,0.7695351111484994,0.43333333333333335,0.140803739866062,256,333
far,tsu_oof,12359,535,0.5275265063301862,0.7653021455289056,0.4582503359873767,1.1338754350009517,0.65808237124418,0.2281904297686199,0.7046219190459951,0.8459162735699923,0.7333333333333333,0.46161576738896354,256,358
far,fireprot_le500,3205,408,0.592786443645921,0.6273972054215716,0.8852796533159834,1.35696926379558,1.1887025678734333,0.047035407157838625,1.203004996849386,0.7381657167693677,0.6333333333333333,0.15568537621581255,256,358
