config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs
base,tsu_oof,12359,535,0.7989925779487783,0.7758701544011274,0.44192348629030836,0.6148744709246861,0.6132534024341172,0.26813598185696524,0.6628702671869586,0.8537797351814147,0.7333333333333333,0.4684259264056051,256,385
base,fireprot_le500,3205,408,0.594971853123421,0.6016041621456829,0.9010634210938613,1.3618867358023505,1.2728978683353043,0.14777408628500033,1.2823210825567708,0.7049245690410595,0.6333333333333333,0.1791245972221196,256,385
cw,tsu_oof,12359,535,0.7948536600825095,0.765683085142809,0.45419962267583314,0.6250383269544703,0.5629176297328538,0.24494828702230736,0.629378063090171,0.8555538869146232,0.7666666666666667,0.5273811299167231,256,361
cw,fireprot_le500,3205,408,0.6724177012119374,0.6946054865201774,0.7524649085957352,1.1858824573351743,1.1660795938975408,0.13376474838381114,1.1800304726085926,0.7695351111484994,0.43333333333333335,0.140803739866062,256,361
cw+cons,tsu_oof,12359,535,0.7987353261080241,0.7721048691361915,0.44377219484262337,0.6116202469528995,0.6906295386886317,0.21612419891511675,0.7253794477376498,0.8504641280841753,0.8666666666666667,0.589590248564197,270,432
cw+cons,fireprot_le500,3205,408,0.6705349499637677,0.6860282620382595,0.7673385874739161,1.189916096591953,1.306730152814805,0.1066035689387527,1.3154081126015096,0.7557125281288776,0.4,0.11754768226078727,270,432
cons,tsu_oof,12359,535,0.5462153418509398,0.4778821692930041,0.6347561417791372,0.853381866180498,1.26347984263632,-0.06672948917075862,1.2725005874039736,0.5979665941598271,0.43333333333333335,0.23283277205780667,14,377
cons,fireprot_le500,3205,408,0.4596636248233499,0.42612000141251466,0.9686684659316749,1.4307873864087615,1.4581126069860295,-0.11290374595728493,1.4640759007113624,0.6151102021072999,0.43333333333333335,0.12809426687837108,14,377
