config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs
onehot,tsu_oof,12359,535,0.5046957012984297,0.47812147666116295,0.6550026952921439,0.877166592130674,1.2367717047020272,0.0034821199143589433,1.2367717047020272,0.6901307178177127,0.1,0.10585172518533016,40,93
onehot,fireprot_le500,3205,408,0.3813017996996263,0.3688165374016627,1.0337262003189938,1.474052145660488,1.6887888638005244,-0.07197061730083855,1.6887888638005244,0.620650977588032,0.3333333333333333,0.08248140029616241,40,93
diag,tsu_oof,12359,535,0.7749717656667681,0.7570742878536553,0.4664521612268447,0.6424835891377012,0.7985145267557795,0.21628210412810459,0.7998879445077766,0.8353854982105144,0.5,0.36523276709928154,128,108
diag,fireprot_le500,3205,408,0.6469945472311537,0.6593852456490417,0.8031868311039398,1.2238548334194508,1.4147461851256373,-0.011671458560132637,1.4147461851256373,0.7391313872706753,0.6,0.19885906402259204,128,108
