config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs
base,tsu_oof,12359,535,0.8008751280098767,0.7767879915817291,0.44079237838514207,0.6086726108126447,0.738745469637799,0.21903600238856125,0.7500522797402193,0.8402744931898372,0.7666666666666667,0.5648117016257652,256,170
base,s669,541,69,0.38076993321172325,0.3709583699830549,1.15629253805454,1.5430376761335445,2.5012799321182904,0.11767716904216532,2.5012799321182904,0.679900515843773,0.23333333333333334,0.28385017500021154,256,170
diag,tsu_oof,12359,535,0.7749717656667681,0.7570742878536553,0.4664521612268447,0.6424835891377012,0.7985145267557795,0.21628210412810459,0.7998879445077766,0.8353854982105144,0.5,0.36523276709928154,128,207
diag,s669,541,69,0.5569911137117833,0.5687257300052354,0.9767799808194656,1.3570048471066511,2.082001762630947,0.08183854060736394,2.082001762630947,0.7053242446573323,0.43333333333333335,0.36434892098626526,128,207
