config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs
dz,tsu_oof,12359,535,0.7921605003163971,0.7767170967172002,0.4462077803025097,0.6201440939163734,0.7343928785975982,0.2515519378848694,0.7406692426434038,0.8587963021511767,0.6666666666666666,0.4181074656023261,256,125
dz,fireprot_le500,3205,408,0.6474084193599613,0.6610297348164245,0.8332859789535907,1.2734990279053173,1.3083925467938267,0.0028762004260516737,1.3084684234833115,0.7395642740471232,0.6666666666666666,0.20373735971470328,256,125
base,tsu_oof,12359,535,0.8008751280098767,0.7767879915817291,0.44079237838514207,0.6086726108126447,0.738745469637799,0.21903600238856125,0.7500522797402193,0.8402744931898372,0.7666666666666667,0.5648117016257652,256,205
base,fireprot_le500,3205,408,0.47621754330057103,0.4146678471096274,1.0337130007523245,1.4269062432692325,2.002018648007634,0.24137762517430617,2.0032957582836204,0.597404782434962,0.6333333333333333,0.183515392449745,256,205
cw,tsu_oof,12359,535,0.7925637231207413,0.7652693007111878,0.45069265473780873,0.619843547599617,0.7695988068913785,0.1579973700749638,0.7770807195161362,0.8321759639826489,0.8,0.5460895822700649,256,162
cw,fireprot_le500,3205,408,0.6572916837523557,0.6703787003767677,0.791185473782125,1.2081393323962737,1.4235916948381993,0.020400089297942042,1.425004135806291,0.7386441705749157,0.5666666666666667,0.18729723895502312,256,162
