dataset,features,augment,n,pearson,spearman,rmse,mae
Tsuboyama,dz,none,12359,0.792160500316397,0.7767170967172002,0.6201440939163734,0.4462077803025095
Tsuboyama,dz,sym,12359,0.5979947653021473,0.7776467981952936,0.960605771343585,0.4527479089119739
Tsuboyama,concat,none,12359,0.8008751280098761,0.7767879915817291,0.6086726108126446,0.44079237838514207
Tsuboyama,concat,sym,12359,0.7989925779487782,0.7758701544011274,0.6148744709246861,0.44192348629030836
FireProt,dz,none,3205,0.5745901370471722,0.5997693188276415,1.3153604483480454,0.8675189460880764
FireProt,dz,sym,3205,0.5786575060327797,0.6149990764919829,1.311165129042544,0.8608527750127668
FireProt,concat,none,3205,0.5080342447966079,0.504239396591851,1.3945186387093869,0.9611133021526952
FireProt,concat,sym,3205,0.5881295775531468,0.6151101622963169,1.2848516345097207,0.8461794175928731
