model,unit,drop_ubi4,rosetta,boltz,delta,ci_lo,ci_hi,frac_boot_positive,excludes_zero
ddg_only,protein,True,0.2788125178039687,0.3536908853233227,0.074878367519354,0.007103642739783478,0.12326037760333752,0.9825,True
ddg_dde,protein,True,0.4810807927237077,0.4981675993258612,0.017086806602153504,-0.035935817958069716,0.03752143407029135,0.5491,False
position_context,protein,True,0.5294789936706634,0.5272800348693921,-0.0021989588012713,-0.00952019932691539,0.006700255216519624,0.2223,False
