model,unit,drop_ubi4,rosetta,boltz,delta,ci_lo,ci_hi,frac_boot_positive,excludes_zero
ddg_only,protein,False,0.2788125178039687,0.3536908853233227,0.074878367519354,0.008057206754665869,0.11659118166361476,0.9869,True
ddg_dde,protein,False,0.4693705840253972,0.4697492156555407,0.0003786316301434556,-0.035935817958069716,0.03752143407029135,0.4191,False
position_context,protein,False,0.5104983453739697,0.5030500966736968,-0.00744824870027283,-0.010572596840983883,0.006700255216519624,0.1364,False
