stratum,n,pct_low,auc_rosetta,auc_boltz,delta,ci_lo,ci_hi
pooled,15878,49.156064995591386,0.7104717816357512,0.758571000859946,0.0480992192241948,0.014274781152159669,0.07885657559962977
conditional,15878,49.156064995591386,0.6333421437341031,0.6539661288895908,0.02062398515548769,-0.009976288069467005,0.0522913254603325
Q1,3970,17.808564231738035,0.5696814526249262,0.5929338895099615,0.02325243688503531,-0.02517888126858519,0.07356542079761744
Q2,3969,35.52532123960695,0.6196742688162209,0.6388762786882065,0.019202009871985615,-0.03133956558873491,0.062086770923561
Q3,3969,59.234063995968754,0.6422052210378878,0.659743979759816,0.017538758721928227,-0.02076066108607874,0.04873074638285097
Q4,3970,84.05541561712846,0.7018076324573774,0.7243103676003789,0.022502735143001495,-0.0092398814709911,0.06377390534792816
