contrast,n_variants,n_positions,mean,ci_lo,ci_hi
boltz_minus_rosetta,2801,156,0.1437246804215387,0.07612486398409585,0.2133517188134977
boltz_minus_gemme,2801,156,0.33989778783376123,0.24748098836780594,0.4342654901062303
