fraction,n_train_proteins,pooled_pearson_mean,pooled_pearson_sd,pooled_rmse_mean,pooled_mae_mean,n_seeds
0.1,33.0,0.7444291161117252,0.0022419402547095083,0.668408692456277,0.48810213066456903,3
0.25,82.0,0.7670516261791498,0.0005033005278595536,0.642200730104658,0.4663697733546461,3
0.5,164.6,0.7806033245509152,0.0007827592713067429,0.6255937571843034,0.4549183859908565,3
1.0,329.6,0.7927430838220975,0.0,0.6100888175006003,0.4437175835570535,1
