model,n_features,n_datasets,median_spearman,mean_spearman,published,delta,seconds
null_smave,3,39,0.3340326173337511,0.3243360566277955,0.17,0.1640326173337511,101.1
ddg_only,1,39,0.24946741839267247,0.2572109003026852,0.25,-0.0005325816073275258,562.9
dde_only,1,39,0.40903529240112485,0.39305757757980986,0.42,-0.010964707598875134,531.5
ddg_dde,2,39,0.46617897187347973,0.4566138446973257,0.47,-0.003821028126520243,537.2
position_context,47,39,0.5187049184340736,0.49652010832718746,0.52,-0.0012950815659263926,1145.9
